,name,img,description,tags,Cronologia,Materiale e Tecnica,Dimensioni,Collocazione,Inventario,Stato di conservazione,Acquisizione,Ambito Culturale,Specifiche di reperimento,Osservazioni,Dati di scavo,Autore,Dritto,Rovescio,Notizie storico-critiche,Zecca,Url,museumName,Altezza,Diametro,Larghezza,Lunghezza,Profondità,Spessore
0,Gioacchino cacciato dal Tempio,https://cappellascrovegni.padovamusei.it/sites/default/files/styles/immagine_opera/public/opera/copertina/95098.jpg?itok=3gG6lj1c,"Si narra nei Vangeli apocrifi che Gioacchino, recatosi al tempio per offrire l'agnello votivo venisse scacciato dallo scriba Ruben: ""Non ti è lecito rimanere qui, tra coloro che offrono sacrifici al Signore, perchè egli non ti ha benedetto e dato prole nel popolo di Israele"". (Pseudo Matteo 2, 1). Il ciborio e il pulpito, o bimah per gli ebrei, viene presentato architettonicamente in analogia al Sancta Santorum delle basiliche paleocristiane, visto da Giotto a Roma e qui memorizzato, con un aggiornamento sull'architettura ""moderna"" di Arnolfo di Cambio.",['Dipinto'],"XIV, inizio sec.",Affresco,Altezza: 208 cm ca.Larghezza: 220 cm ca.,"Navata, parete destra, registro superiore, I riquadro da sinistra",S.n.,Buono,Acquisto dalla famiglia Foscari Gradenigo,,,,,,,,,,https://cappellascrovegni.padovamusei.it/it/collezioni/vita-maria/gioacchino-cacciato-tempio,capellascrovegni,208,0,220.0,0,0,0
1,Gioacchino tra i pastori,https://cappellascrovegni.padovamusei.it/sites/default/files/styles/immagine_opera/public/opera/copertina/94953.jpg?itok=XnH5qhXX,"Gioacchino si reca tra i suoi pastori in montagna e per cinque mesi la sua consorte Anna non ha più nessuna notizia di lui. La sofferenza di Gioacchino, futuro padre di Maria, viene resa nell'atteggiamento dimesso del corpo con il capo chino e dall'espressione del volto, che contrasta con l'affettuosa vivacità del cagnolino dei pastori che gli viene incontro. Alla chiara espressione dei sentimenti corrisponde la costruzione volumetrica delle figure, ridotte all'essenziale per lasciare spazio al paesaggio boschivo e montuoso. L'attenzione per la natura, già vivamente osservata nelle opere di Giotto ad Assisi, a Padova diventa uno degli elementi dominanti.",['Dipinto'],"XIV, inizio sec.",Affresco,Altezza: 208 cm ca.Larghezza: 220 cm ca.,"Navata, parete destra, registro superiore, II riquadro da sinistra",S.n.,Buono,Acquisto dalla famiglia Foscari Gradenigo,,,,,,,,,,https://cappellascrovegni.padovamusei.it/it/collezioni/vita-maria/gioacchino-tra-pastori,capellascrovegni,208,0,220.0,0,0,0
2,L'annuncio della nascita di Maria ad Anna,https://cappellascrovegni.padovamusei.it/sites/default/files/styles/immagine_opera/public/opera/copertina/94960_0.jpg?itok=K3D3YGQu,"Anna, in preghiera nella sua stanza, riceve l'annuncio dell'Angelo che le dice: ""Non temere Anna. Dio ha stabilito di esaudire la tua preghiera"". La stanza di Anna ha forme classicheggianti, con un timpano in sommità decorato da due putti alati che sorreggono il busto del profeta Isaia, entro una conchiglia. All'interno gli arredi sono di epoca trecentesca: il baule, la panca, il letto con la coperta a righe. Nella quotidianità, la sacralità dell'evento è data dall'immagine di Anna inginocchiata in preghiera e dalla figura dell'Angelo che occupa per intero il vano della finestra da cui di affaccia ponendosi di scorcio. Un'ancella intanto fila seduta sotto il portico, ignara dell'evento miracoloso che si sta compiendo.",['Dipinto'],"XIV, inizio sec.",Affresco,Altezza: 208 cm ca.Larghezza: 220 cm ca.,"Navata, parete destra, registro superiore, III riquadro da sinistra",S.n.,Buono,Acquisto dalla famiglia Foscari Gradenigo,,,,,,,,,,https://cappellascrovegni.padovamusei.it/it/collezioni/vita-maria/annuncio-nascita-maria-ad-anna,capellascrovegni,208,0,220.0,0,0,0
3,Il sacrificio di Gioacchino,https://cappellascrovegni.padovamusei.it/sites/default/files/styles/immagine_opera/public/opera/copertina/94981.jpg?itok=TJ5DFtmo,"L'Angelo annuncia a Gioacchino che Anna partorirà: ""Gioacchino che s'era inginocchiato, prese il capretto e lo offrì in sacrificio a Dio"". Sull'altare viene rappresentato lo scheletro dell'agnello sacrificale e sopra di lui è lievemente tratteggiata una testa di profilo, quale allegoria della preghiera di Gioacchino che sale al cielo. Sopra l'allegoria viene rappresentata la mano di Dio che la benedice e l'accoglie. I fiori disegnati e dipinti con accuratezza anticipano, e di molto, le pagine miniate degli erbari realizzati a Padova alla fine del secolo XIV dimostrando un interesse scientifico-naturalistico nuovo per gli inizi del Trecento. E' il modo nuovo d'intendere la natura e di goderla in tutti i suoi elementi che Giotto porta a compimento a Padova e che denota attente osservazioni dal vero.",['Dipinto'],"XIV, inizio sec.",Affresco,Altezza: 208 cm ca.Larghezza: 220 cm ca.,"Navata, parete destra, registro superiore, III riquadro da destra",S.n.,Buono,Acquisto dalla famiglia Foscari Gradenigo,,,,,,,,,,https://cappellascrovegni.padovamusei.it/it/collezioni/vita-maria/il-sacrificio-gioacchino,capellascrovegni,208,0,220.0,0,0,0
4,Il sogno di Gioacchino,https://cappellascrovegni.padovamusei.it/sites/default/files/styles/immagine_opera/public/opera/copertina/94982.jpg?itok=7Em-Rgyq,"Gioacchino, addormentandosi, riceve il messaggio dell'Angelo: ""Ritorna da Anna perchè siete stati esauditi nelle vostre preghiere"". La visione mistica coglie Gioacchino  immerso nel sonno, accovacciato e chiuso in se stesso tanto da formare una figura geometrica a piramide. L'azione, cioè l'Angelo, i pastori e le pecore, sono spostati, per quanto più possibile, sul lato sinistro cosicchè lo spazio diventa amplissimo e vuoto al centro, in modo da isolare il protagonista e dargli la giusta importanza. Il pastore in primo piano appoggiato al bastone e la figura di Gioacchino, spesso accostata alle sculture di Nicola Pisano e di Arnolfo di Cambio, sono tra i più bei brani della pittura italiana.",['Dipinto'],"XIV, inizio sec.",Affresco,Altezza: 208 cm ca.Larghezza: 220 cm ca.,"Navata, parete destra, registro superiore, II riquadro da destra",S.n.,Buono,Acquisto dalla famiglia Foscari Gradenigo,,,,,,,,,,https://cappellascrovegni.padovamusei.it/it/collezioni/vita-maria/il-sogno-gioacchino,capellascrovegni,208,0,220.0,0,0,0
5,L'incontro di Gioacchino e Anna alla Porta Aurea,https://cappellascrovegni.padovamusei.it/sites/default/files/styles/immagine_opera/public/opera/copertina/94983.jpg?itok=fvfbcrht,"Gioacchino incontra Anna alle porte di Gerusalemme ""Correndogli incontro gli gettò le braccia al collo ringraziando il Signore"". Il bacio, quale atto simbolico della procreazione, di matrice classica, perdura, con diverse accezioni, in età medioevale. L'arcone d'accesso alla città, forse tratto sull'esempio dell'arco romano di Rimini, costituisce un'indiretta testimonianza dell'attività di Giotto a Rimini prima del 1305. La donna in nero, con il volto parzialmente coperto, rappresenterebbe simbolicamente la Sinagoga oppure un'allusione alla passata vedovanza di Anna. Le si contrappongono le giovani donne che partecipano al gioioso evento con i capelli raccolti in acconciature a treccia ed abiti alla moda, ritratti femminili vivissimi di eleganti dame del Trecento.",['Dipinto'],"XIV, inizio sec.",Affresco,Altezza: 208 cm ca.Larghezza: 220 cm ca.,"Navata, parete destra, registro superiore, I riquadro da destra",S.n.,Buono,Acquisto dalla famiglia Foscari Gradenigo,,,,,,,,,,https://cappellascrovegni.padovamusei.it/it/collezioni/vita-maria/incontro-gioacchino-anna-porta-aurea,capellascrovegni,208,0,220.0,0,0,0
6,La nascita di Maria,https://cappellascrovegni.padovamusei.it/sites/default/files/styles/immagine_opera/public/opera/copertina/94984.jpg?itok=1vXmqYTv,"Per meglio illustrare l'unità di luogo dei fatti narrati Giotto dipinge la casa di Anna come l'aveva rappresentata nel riquadro precedente con la scena dell'Annunciazione della nascita di Maria. Per evidenziare la profondità della stanza disegna ""prospetticamente"" il rettangolo costituito dai bastoni che sorreggono le tende e, nella profondità di campo così geometricamente definita, colloca due bellissime figure femminili, l'una che tiene in mano le stoviglie con il cibo e l'altra che porge ad Anna la piccola Maria in fasce. La figura femminile con l'elegante veste azzurra con bordure dorate dimostra un'appartenenza sociale elevata e sembra di poter ipotizzare sia la moglie di Enrico Scrovegni. Anche Giusto de' Menabuoi, negli affreschi del Battistero della Cattedrale, rappresenta la committente Fina Buzzaccarini con le figlie nell'atto di rendere omaggio a Santa Elisabetta nella scena della Nascita di Giovanni Battista.",['Dipinto'],"XIV, inizio sec.",Affresco,Altezza: 208 cm ca.Larghezza: 220 cm ca.,"Navata, parete sinistra, registro superiore, I riquadro da sinistra",S.n.,Buono,Acquisto dalla famiglia Foscari Gradenigo,,,,,,,,,,https://cappellascrovegni.padovamusei.it/it/collezioni/vita-maria/nascita-maria,capellascrovegni,208,0,220.0,0,0,0
7,La presentazione di Maria al Tempio,https://cappellascrovegni.padovamusei.it/sites/default/files/styles/immagine_opera/public/opera/copertina/94985_0.jpg?itok=Y9Xgbk6k,"La piccola Maria viene condotta da Anna e Gioacchino al Tempio: ""...e affida a Dio assieme alla schiera di quelle che già vi dimoravano, lodando Dio"". Il Tempio diventa lo spazio architettonico che determina, per diagonali, l'ubicazione dei personaggi: il sacerdote al centro con Maria, due sacerdoti a destra, in basso, Sant'Anna e il giovane con il cesto a sinistra. La scena acquista profondità di campo e su tutte domina l'imponente figura di Anna il cui manto si amplia in una grande macchia di colore. I marmi variegati e le esili colonne sono un ricordo dell'architettura romana conosciuta dall'artista e interpretata attraverso le opere di Arnolfo di Cambio.",['Dipinto'],"XIV, inizio sec.",Affresco,Altezza: 208 cm ca.Larghezza: 220 cm ca.,"Navata, parete sinistra, registro superiore, II riquadro da sinistra",S.n.,Buono,Acquisto dalla famiglia Foscari Gradenigo,,,,,,,,,,https://cappellascrovegni.padovamusei.it/it/collezioni/vita-maria/presentazione-maria-tempio,capellascrovegni,208,0,220.0,0,0,0
8,La consegna delle Verghe,https://cappellascrovegni.padovamusei.it/sites/default/files/styles/immagine_opera/public/opera/copertina/94986_0.jpg?itok=Vr5IybYH,"""...Esci e raduna tutti i vedovi del popolo. Ognuno porti un bastone: Maria sarà la moglie di colui che il Signore designerà per mezzo di un segno"". Gettata l'ascia, Giuseppe uscì per raggiungerli"" (Protovangelo di Giacomo 8,3-9,1). Nella scena i giovani consegnano le verghe al sacerdote Abiatar come aveva ricevuto comando da Dio: ""...Unisci nel Sancta Santorum i ramoscelli di tutti"". Il Tempio è un edificio a navata centrale con soffitto piano e due navate laterali con la calotta absidale che presenta una decorazione geometrica resa ""prospetticamente"". Questa architettura, come le altre qui dipinte da Giotto, è significativa delle sperimentazioni in continuo sviluppo sulla resa della tridimensionalità compiute dal maestro fiorentino a Padova. Il paliotto dell'altare, ornato da un tessuto a disegni geometrici, allude alla preziosità delle stoffe trecentesche e all'aulicità del luogo.",['Dipinto'],"XIV, inizio sec.",Affresco,Altezza: 208 cm ca.Larghezza: 220 cm ca.,"Navata, parete sinistra, registro superiore, III riquadro da sinistra",S.n.,Buono,Acquisto dalla famiglia Foscari Gradenigo,,,,,,,,,,https://cappellascrovegni.padovamusei.it/it/collezioni/vita-maria/consegna-verghe,capellascrovegni,208,0,220.0,0,0,0
9,La preghiera di Giuseppe e dei giovani al Tempio,https://cappellascrovegni.padovamusei.it/sites/default/files/styles/immagine_opera/public/opera/copertina/94987_0.jpg?itok=QBLgq01e,"Il sacerdote e i giovani si raccolgono in preghiera in attesa del segno divino. I ramoscelli sono posti sulla mensa dell'altare tra due vasi sacri. L'emozione dell'attesa si legge negli sguardi, tutti fissi verso l'altare, nei profili marcati, nell'arcuarsi delle figure inginocchiate. Giuseppe, posto quasi fuori campo ed indicato dall'aureola sul capo, è posto in secondo piano e di scorcio, diventando di fatto l'espressione più sentita della timorosa attensa che così viene descritta nei Vangeli apocrifi: ""Giuseppe se ne sta appartato in un angolo"".",['Dipinto'],"XIV, inizio sec.",Affresco,Altezza: 208 cm ca.Larghezza: 220 cm ca.,"Navata, parete sinistra, registro superiore, III riquadro da destra",S.n.,Buono,Acquisto dalla famiglia Foscari Gradenigo,,,,,,,,,,https://cappellascrovegni.padovamusei.it/it/collezioni/vita-maria/preghiera-giuseppe-giovani-tempio,capellascrovegni,208,0,220.0,0,0,0
