,name,longitude,latitude
0,Tempio nazionale dell'internato ignoto,11°54′30.24″E,45°23′41.71″N
1,Scuola del Carmine,11°52′27.8″E,45°24′46.4″N
2,Chiesa di Sant'Andrea (Padova),11°52′37.09″E,45°24′30.38″N
3,Chiesa di Sant'Antonio di Vienna,11°52′04.97″E,45°24′42.29″N
4,Chiesa del Beato Antonio Pellegrino,11°52′17.94″E,45°24′50.64″N
5,Battistero di Padova,11°52′18.44″E,45°24′24.52″N
6,Chiesa di San Benedetto Vecchio,11°52′01.48″E,45°24′34.59″N
7,Chiesa di San Benedetto Novello,11°52′02.07″E,45°24′30.32″N
8,Chiesa di Santa Caterina (Padova),11°53′02.72″E,45°24′15.41″N
9,Chiesa di San Canziano (Padova),11°52′34.61″E,45°24′22.97″N
10,Chiesa di San Carlo Borromeo (Padova),11°53′24.58″E,45°25′43.26″N
11,Chiesa di San Clemente (Padova),11°52′27.01″E,45°24′27.36″N
12,Chiesa di Santa Croce (Padova),11°52′16.29″E,45°23′34.89″N
13,Chiesa di Santa Maria delle Grazie (Padova),11°52′21.76″E,45°23′52.66″N
14,Chiesa di San Daniele (Padova),11°52′34.36″E,45°24′03.78″N
15,Chiesa delle Dimesse,11°52′11.31″E,45°24′00″N
16,Chiesa di San Fermo (Padova),11°52′30.36″E,45°24′40.28″N
17,Chiesa di San Francesco Grande (Padova),11°52′50.12″E,45°24′17.46″N
18,Chiesa di San Gaetano (Padova),11°52′55.09″E,45°24′30.24″N
19,Oratorio di San Giorgio (Padova),11°52′48.96″E,45°24′03.86″N
20,Chiesa di San Giovanni Battista (Pontevigodarzere),11°53′38.85″E,45°26′44.46″N
21,Chiesa dell'Immacolata (Padova),11°53′22.27″E,45°24′26.89″N
22,Chiesa di Santa Lucia (Padova),11°52′31.22″E,45°24′31.5″N
23,Santuario di San Leopoldo Mandic,11°52′12.23″E,45°23′34.58″N
24,Chiesa di San Massimo (Padova),11°53′32.55″E,45°24′19.33″N
25,Chiesa di Santa Margherita (Padova),11°52′50.56″E,45°24′19.23″N
26,Chiesa di Santa Maria dei Servi (Padova),11°52′32.62″E,45°24′16.63″N
27,Chiesa di Santa Maria del Torresino,11°52′19.42″E,45°24′01.48″N
28,Chiesa di Santa Maria in Vanzo,11°52′22.63″E,45°24′03.98″N
29,Oratorio di San Michele (Padova),11°52′08.76″E,45°24′04.82″N
30,"Chiesa di San Michele Arcangelo (Padova, Pozzoveggiani)",11°53′59.13″E,45°21′09.63″N
31,"Chiesa di San Michele Arcangelo (Padova, Torre)",11°55′28.88″E,45°26′11.5″N
32,Chiesa di San Nicolò (Padova),11°52′21.22″E,45°24′31.39″N
33,Chiesa di Ognissanti (Padova),11°53′47.08″E,45°24′25.27″N
34,Chiesa di San Pietro Apostolo (Padova),11°52′07.61″E,45°24′31.36″N
35,Chiesa di San Prosdocimo (Padova),11°51′53.46″E,45°24′23.94″N
36,Santuario dell'Arcella,11°53′11.4″E,45°25′17.8″N
37,Scuola del Redentore,11°52′16.98″E,45°23′35.64″N
38,Scuola di San Rocco (Padova),11°52′30.25″E,45°24′32.22″N
39,Chiesa di Santa Sofia (Padova),11°53′05.28″E,45°24′26.32″N
40,Chiesa di San Tomaso Cantuariense (Padova),11°52′08.8″E,45°24′11.2″N
41,Tempio della Pace (Padova),11°53′05.5″E,45°24′55.4″N
