,name,longitude,latitude
0,Museo di anatomia patologica (Padova),11°53′09.24″E,45°24′18.1″N
1,Collezione privata Safilo,11°55′44.02″E,45°24′53.4″N
2,Esapolis,11°50′02.98″E,45°23′51.79″N
3,Museo veneto del giocattolo,11°49′48.17″E,45°22′12.77″N
4,Museo antoniano,11°52′48.25″E,45°24′04.9″N
5,Museo Bottacin,11°52′41.23″E,45°24′41.65″N
6,Museo del precinema,11°52′32.74″E,45°24′00.04″N
7,Museo dell'Educazione,11°52′23.27″E,45°24′20.74″N
8,Museo di geografia dell'Università di Padova,11°52′44.8″E,45°24′17.89″N
9,Museo di storia della fisica dell'Università di Padova,11°53′08.74″E,45°24′37.55″N
10,Museo diocesano (Padova),11°52′20.17″E,45°24′24.85″N
11,Palazzo Zuckermann,11°52′41.23″E,45°24′41.65″N
12,Specola di Padova,11°52′06.82″E,45°24′07.02″N
13,MUSME,11°52′49.22″E,45°24′18.94″N
14,Tempio nazionale dell'internato ignoto,11°54′30.24″E,45°23′41.71″N
